Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Quick, [I], 50000, Unsorted, -550
Quick, [I], 50000, Sorted, -450
Heap, [I], 50000, Unsorted, -650
Heap, [I], 50000, Sorted, -750
Shell, [I], 50000, Unsorted, 7438250
Shell, [I], 50000, Sorted, 911650
Radix, [I], 50000, Unsorted, 9351050
Radix, [I], 50000, Sorted, 5677150
Selection, [D], 50000, Unsorted, 150
Selection, [D], 50000, Sorted, -450
Bubble, [D], 50000, Unsorted, -450
Bubble, [D], 50000, Sorted, -550
Insertion, [D], 50000, Unsorted, -550
Insertion, [D], 50000, Sorted, -550
Merge, [D], 50000, Unsorted, -250
Merge, [D], 50000, Sorted, -650
Quick, [D], 50000, Unsorted, -650
Quick, [D], 50000, Sorted, -650
Heap, [D], 50000, Unsorted, 150
Heap, [D], 50000, Sorted, -350
Shell, [D], 50000, Unsorted, 13377250
Shell, [D], 50000, Sorted, 2009550
Radix, [D], 50000, Unsorted, 25159550
Radix, [D], 50000, Sorted, 22014650
Selection, [Ljava.lang.String;], 50000, Unsorted, 450
Selection, [Ljava.lang.String;], 50000, Sorted, -550
Bubble, [Ljava.lang.String;], 50000, Unsorted, -450
Bubble, [Ljava.lang.String;], 50000, Sorted, -650
Insertion, [Ljava.lang.String;], 50000, Unsorted, -750
Insertion, [Ljava.lang.String;], 50000, Sorted, -750
Merge, [Ljava.lang.String;], 50000, Unsorted, -650
Merge, [Ljava.lang.String;], 50000, Sorted, -650
Quick, [Ljava.lang.String;], 50000, Unsorted, -650
Quick, [Ljava.lang.String;], 50000, Sorted, -750
Heap, [Ljava.lang.String;], 50000, Unsorted, -750
Heap, [Ljava.lang.String;], 50000, Sorted, -750
Shell, [Ljava.lang.String;], 50000, Unsorted, 349001850
Shell, [Ljava.lang.String;], 50000, Sorted, 88814150
Radix, [Ljava.lang.String;], 50000, Unsorted, 52781950
Radix, [Ljava.lang.String;], 50000, Sorted, 52970950
Selection, [I], 100000, Unsorted, 2850
Selection, [I], 100000, Sorted, -550
Bubble, [I], 100000, Unsorted, -450
Bubble, [I], 100000, Sorted, -650
Insertion, [I], 100000, Unsorted, -750
Insertion, [I], 100000, Sorted, -650
Merge, [I], 100000, Unsorted, -750
Merge, [I], 100000, Sorted, -650
Quick, [I], 100000, Unsorted, -750
Quick, [I], 100000, Sorted, -750
Heap, [I], 100000, Unsorted, -750
Heap, [I], 100000, Sorted, -750
Shell, [I], 100000, Unsorted, 15755250
Shell, [I], 100000, Sorted, 1928450
Radix, [I], 100000, Unsorted, 5330750
Radix, [I], 100000, Sorted, 5025750
Selection, [D], 100000, Unsorted, 550
