Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Heap, [D], 50000, Unsorted, -350
Heap, [D], 50000, Sorted, -250
Shell, [D], 50000, Unsorted, 1027850
Shell, [D], 50000, Sorted, 738250
Radix, [D], 50000, Unsorted, 19850850
Radix, [D], 50000, Sorted, 19889750
Selection, [Ljava.lang.String;], 50000, Unsorted, -50
Selection, [Ljava.lang.String;], 50000, Sorted, -350
Bubble, [Ljava.lang.String;], 50000, Unsorted, 16919133650
Bubble, [Ljava.lang.String;], 50000, Sorted, 17310088350
Insertion, [Ljava.lang.String;], 50000, Unsorted, 4473350
Insertion, [Ljava.lang.String;], 50000, Sorted, 19402950
Merge, [Ljava.lang.String;], 50000, Unsorted, 1450
Merge, [Ljava.lang.String;], 50000, Sorted, 1850
Quick, [Ljava.lang.String;], 50000, Unsorted, -50
Quick, [Ljava.lang.String;], 50000, Sorted, 550
Heap, [Ljava.lang.String;], 50000, Unsorted, -150
Heap, [Ljava.lang.String;], 50000, Sorted, -150
Shell, [Ljava.lang.String;], 50000, Unsorted, 160511750
Shell, [Ljava.lang.String;], 50000, Sorted, 119003750
Radix, [Ljava.lang.String;], 50000, Unsorted, 53178050
Radix, [Ljava.lang.String;], 50000, Sorted, 54233250
Selection, [I], 100000, Unsorted, 3750
Selection, [I], 100000, Sorted, 450
Bubble, [I], 100000, Unsorted, 10797989650
Bubble, [I], 100000, Sorted, 1550521050
Insertion, [I], 100000, Unsorted, 706250
Insertion, [I], 100000, Sorted, 683050
Merge, [I], 100000, Unsorted, -450
Merge, [I], 100000, Sorted, -350
Quick, [I], 100000, Unsorted, -350
Quick, [I], 100000, Sorted, -450
Heap, [I], 100000, Unsorted, -450
Heap, [I], 100000, Sorted, -350
Shell, [I], 100000, Unsorted, 1051350
Shell, [I], 100000, Sorted, 1036550
Radix, [I], 100000, Unsorted, 6730950
Radix, [I], 100000, Sorted, 6849650
Selection, [D], 100000, Unsorted, 150
Selection, [D], 100000, Sorted, -50
Bubble, [D], 100000, Unsorted, 12800059450
Bubble, [D], 100000, Sorted, 1755062050
Insertion, [D], 100000, Unsorted, 490850
Insertion, [D], 100000, Sorted, 150750
Merge, [D], 100000, Unsorted, -350
Merge, [D], 100000, Sorted, 350
Quick, [D], 100000, Unsorted, -350
Quick, [D], 100000, Sorted, -450
Heap, [D], 100000, Unsorted, -350
Heap, [D], 100000, Sorted, -450
Shell, [D], 100000, Unsorted, 1846350
Shell, [D], 100000, Sorted, 2099750
Radix, [D], 100000, Unsorted, 37796150
Radix, [D], 100000, Sorted, 32857050
Selection, [Ljava.lang.String;], 100000, Unsorted, 50
Selection, [Ljava.lang.String;], 100000, Sorted, -250
Bubble, [Ljava.lang.String;], 100000, Unsorted, 48697365550
Bubble, [Ljava.lang.String;], 100000, Sorted, 46113595450
Insertion, [Ljava.lang.String;], 100000, Unsorted, 2646850
Insertion, [Ljava.lang.String;], 100000, Sorted, 1340950
Merge, [Ljava.lang.String;], 100000, Unsorted, -250
Merge, [Ljava.lang.String;], 100000, Sorted, -450
Quick, [Ljava.lang.String;], 100000, Unsorted, -450
Quick, [Ljava.lang.String;], 100000, Sorted, -450
Heap, [Ljava.lang.String;], 100000, Unsorted, -450
Heap, [Ljava.lang.String;], 100000, Sorted, -350
Shell, [Ljava.lang.String;], 100000, Unsorted, 307776150
Shell, [Ljava.lang.String;], 100000, Sorted, 202732450
Radix, [Ljava.lang.String;], 100000, Unsorted, 79118850
Radix, [Ljava.lang.String;], 100000, Sorted, 84002150
Selection, [I], 500000, Unsorted, 450
Selection, [I], 500000, Sorted, -450
Bubble, [I], 500000, Unsorted, 253354908850
Bubble, [I], 500000, Sorted, 38138947650
Insertion, [I], 500000, Unsorted, 2478050
Insertion, [I], 500000, Sorted, 270550
Merge, [I], 500000, Unsorted, -250
Merge, [I], 500000, Sorted, -450
Quick, [I], 500000, Unsorted, -450
Quick, [I], 500000, Sorted, -450
Heap, [I], 500000, Unsorted, -550
Heap, [I], 500000, Sorted, -450
Shell, [I], 500000, Unsorted, 5930950
Shell, [I], 500000, Sorted, 5699350
Radix, [I], 500000, Unsorted, 45819250
Radix, [I], 500000, Sorted, 27248250
Selection, [D], 500000, Unsorted, -250
Selection, [D], 500000, Sorted, -350
Bubble, [D], 500000, Unsorted, 300133296150
Bubble, [D], 500000, Sorted, 43177232750
Insertion, [D], 500000, Unsorted, 2658850
Insertion, [D], 500000, Sorted, 395750
Merge, [D], 500000, Unsorted, -350
Merge, [D], 500000, Sorted, -450
Quick, [D], 500000, Unsorted, -450
Quick, [D], 500000, Sorted, -450
Heap, [D], 500000, Unsorted, -550
Heap, [D], 500000, Sorted, -350
Shell, [D], 500000, Unsorted, 11547950
Shell, [D], 500000, Sorted, 10704450
Radix, [D], 500000, Unsorted, 167517750
Radix, [D], 500000, Sorted, 168464550
Selection, [Ljava.lang.String;], 500000, Unsorted, 650
Selection, [Ljava.lang.String;], 500000, Sorted, -250
Bubble, [Ljava.lang.String;], 500000, Unsorted, 2820455285450
Bubble, [Ljava.lang.String;], 500000, Sorted, 4349114580850
Insertion, [Ljava.lang.String;], 500000, Unsorted, 22804850
Insertion, [Ljava.lang.String;], 500000, Sorted, 22816950
Merge, [Ljava.lang.String;], 500000, Unsorted, 50
Merge, [Ljava.lang.String;], 500000, Sorted, -50
Quick, [Ljava.lang.String;], 500000, Unsorted, 450
Quick, [Ljava.lang.String;], 500000, Sorted, 250
Heap, [Ljava.lang.String;], 500000, Unsorted, -150
Heap, [Ljava.lang.String;], 500000, Sorted, -250
Shell, [Ljava.lang.String;], 500000, Unsorted, 3024461950
Shell, [Ljava.lang.String;], 500000, Sorted, 2178530950
Radix, [Ljava.lang.String;], 500000, Unsorted, 942632650
Radix, [Ljava.lang.String;], 500000, Sorted, 896529550
Selection, [I], 10, Unsorted, -50
Selection, [I], 10, Sorted, -450
Bubble, [I], 10, Unsorted, 51450
Bubble, [I], 10, Sorted, 50
Insertion, [I], 10, Unsorted, -150
Insertion, [I], 10, Sorted, 150
Merge, [I], 10, Unsorted, -450
Merge, [I], 10, Sorted, -550
Quick, [I], 10, Unsorted, -650
Quick, [I], 10, Sorted, -650
Heap, [I], 10, Unsorted, -650
Heap, [I], 10, Sorted, -650
Shell, [I], 10, Unsorted, -350
Shell, [I], 10, Sorted, -450
Radix, [I], 10, Unsorted, 1150
Radix, [I], 10, Sorted, 350
Selection, [D], 10, Unsorted, -650
Selection, [D], 10, Sorted, -350
Bubble, [D], 10, Unsorted, 150
Bubble, [D], 10, Sorted, 250
Insertion, [D], 10, Unsorted, 250
Insertion, [D], 10, Sorted, 150
Merge, [D], 10, Unsorted, -450
Merge, [D], 10, Sorted, -450
Quick, [D], 10, Unsorted, -450
Quick, [D], 10, Sorted, -550
Heap, [D], 10, Unsorted, -450
Heap, [D], 10, Sorted, -550
Shell, [D], 10, Unsorted, -50
Shell, [D], 10, Sorted, -350
Radix, [D], 10, Unsorted, 6650
Radix, [D], 10, Sorted, 24550
Selection, [Ljava.lang.String;], 10, Unsorted, -550
Selection, [Ljava.lang.String;], 10, Sorted, -450
Bubble, [Ljava.lang.String;], 10, Unsorted, 550
Bubble, [Ljava.lang.String;], 10, Sorted, 350
Insertion, [Ljava.lang.String;], 10, Unsorted, 150
Insertion, [Ljava.lang.String;], 10, Sorted, -50
Merge, [Ljava.lang.String;], 10, Unsorted, -550
Merge, [Ljava.lang.String;], 10, Sorted, -550
Quick, [Ljava.lang.String;], 10, Unsorted, -450
Quick, [Ljava.lang.String;], 10, Sorted, -450
Heap, [Ljava.lang.String;], 10, Unsorted, -250
Heap, [Ljava.lang.String;], 10, Sorted, -250
Shell, [Ljava.lang.String;], 10, Unsorted, 77150
Shell, [Ljava.lang.String;], 10, Sorted, 5450
Radix, [Ljava.lang.String;], 10, Unsorted, 10550
Radix, [Ljava.lang.String;], 10, Sorted, 9550
Selection, [I], 100, Unsorted, -450
Selection, [I], 100, Sorted, -450
Bubble, [I], 100, Unsorted, 12350
Bubble, [I], 100, Sorted, 2650
Insertion, [I], 100, Unsorted, -150
Insertion, [I], 100, Sorted, 150
Merge, [I], 100, Unsorted, -50
